|L| - |T| - |B|,Γ (%),# Iter.,Time (s),Avg LB,Avg UB
40-16-20,10,507.00,1203,6837.1049,28657.4834
,20,471.60,1204,7365.6851,28330.4310
,30,467.40,1205,8015.4740,27337.7803
,40,413.80,1203,12644.2134,36274.2029
,50,446.60,1203,9664.1162,28729.5591
,60,405.60,1202,19310.3198,37899.1872
,70,480.60,1204,9190.8865,27446.2624
,80,366.20,1205,15785.6062,34291.4256
,90,409.80,1204,12906.5005,32544.0739

80-32-10,10,474.00,741,77935.9935,77935.9935
,20,361.60,397,97765.1541,97765.1541
,30,434.80,584,101235.0723,101383.9491
,40,394.20,484,105489.7838,105489.7838
,50,481.00,746,94692.5906,96709.9924
,60,419.40,602,109395.9131,109395.9131
,70,401.40,519,108977.3708,108977.3708
,80,363.80,488,114160.6822,114160.6822
,90,376.00,449,95049.6789,95049.6789

80-32-20,10,404.80,1205,36306.3408,75507.2447
,20,408.40,1203,39833.0709,81619.7394
,30,433.40,1204,51781.4196,90957.2349
,40,410.60,1203,58104.6358,91154.7406
,50,398.60,1203,60297.3262,93781.6376
,60,393.60,1203,51112.6930,81617.3707
,70,379.80,1202,63847.6169,94220.6109
,80,367.40,1204,64914.6236,95406.3217
,90,395.20,1204,74206.5517,99728.8125

100-40-10,10,358.00,448,116944.4760,116944.4760
,20,280.00,272,126962.2364,126962.2364
,30,312.80,291,138560.0582,138560.0582
,40,306.60,302,140712.3477,140712.3477
,50,241.60,187,126303.4662,126303.4662
,60,215.60,150,150783.6561,150783.6561
,70,278.80,302,150209.1518,150209.1518
,80,299.60,291,139757.7797,139757.7797
,90,227.60,203,157447.1889,157447.1889

100-40-20,10,446.00,1203,66868.4723,110793.0674
,20,436.00,1203,78467.3646,125163.9215
,30,413.60,1154,90552.8944,124883.0616
,40,428.20,1202,91705.9777,138099.6220
,50,445.60,1204,98414.3995,134516.9741
,60,426.80,1202,100120.7090,142316.7989
,70,430.60,1191,109112.1280,135936.4063
,80,398.80,1202,108684.8349,140842.3367
,90,388.80,1203,89967.4721,128986.8101

200-80-10,10,7.80,2,305186.7688,305186.7688
,20,4.40,1,297303.8944,297303.8944
,30,6.20,2,-inf,inf
,40,4.40,1,337703.5608,337703.5608
,50,2.80,1,-inf,inf
,60,4.80,1,325280.9893,325280.9893
,70,5.40,2,-inf,inf
,80,3.00,1,-inf,inf
,90,3.80,1,388634.5107,388634.5107

200-80-20,10,22.40,25,280398.1341,280398.1341
,20,7.20,7,295985.5255,295985.5255
,30,20.60,26,322773.8176,322773.8176
,40,11.00,12,325621.6048,325621.6048
,50,25.40,33,338241.7585,338241.7585
,60,13.60,15,359119.6522,359119.6522
,70,16.60,20,330559.4178,330559.4178
,80,11.40,13,352526.7092,352526.7092
,90,14.20,16,351555.5300,351555.5300

