|L| - |T| - |B|,Γ (%),# Iter.,Time (s),Avg LB,Avg UB
10-4-10,10,36.60,1,7405.5730,7405.5730
,20,25.00,1,8298.7957,8298.7957
,30,24.20,1,6387.6509,6387.6509
,40,25.00,1,7302.7596,7302.7596
,50,26.40,1,7781.6449,7781.6449
,60,25.20,1,8454.8158,8454.8158
,70,25.20,1,8895.6185,8895.6185
,80,22.60,0,7984.4373,7984.4373
,90,22.80,0,7696.9819,7696.9819

10-4-20,10,53.40,3,5928.5935,5928.5935
,20,38.20,2,5754.5666,5754.5666
,30,38.80,2,8879.5548,8879.5548
,40,44.20,3,6667.0291,6667.0291
,50,32.00,2,5120.5986,5120.5986
,60,36.40,2,6545.9797,6545.9797
,70,35.40,2,8725.4548,8725.4548
,80,39.00,2,8443.8001,8443.8001
,90,31.80,1,6932.7595,6932.7595

20-8-10,10,153.00,27,14310.2359,14310.2359
,20,170.00,31,14712.4595,14712.4595
,30,150.00,24,17958.2526,17958.2526
,40,117.60,18,21248.2215,21248.2215
,50,115.80,17,20964.7674,20964.7674
,60,107.20,14,19773.5905,19773.5905
,70,73.80,7,16625.7478,16625.7478
,80,72.60,8,17863.8137,17863.8137
,90,91.00,11,22770.5007,22770.5007

20-8-20,10,334.60,287,13417.9912,13417.9912
,20,261.00,183,15614.6709,15614.6709
,30,209.00,117,17340.8862,17340.8862
,40,178.20,90,16727.7377,16727.7377
,50,148.80,56,18337.5606,18337.5606
,60,120.00,50,15366.8394,15366.8394
,70,169.80,80,14536.2582,14536.2582
,80,216.40,137,13716.7290,13716.7290
,90,105.40,32,16902.9294,16902.9294

40-16-10,10,844.40,1768,31647.4350,33106.2152
,20,776.60,1658,32920.9925,34053.2421
,30,875.40,2136,33405.5144,34808.5173
,40,881.20,2035,34994.5246,35763.1585
,50,559.40,878,39082.5275,39082.5275
,60,581.00,911,34383.0761,34485.0382
,70,459.00,636,35897.1207,35897.1207
,80,764.40,1744,35467.2975,35734.1146
,90,567.00,999,37703.6601,37703.6601








