|L| - |T| - |B|,Γ (%),# Iter.,Time (s),Avg LB,Avg UB
10-4-10,10,2.00,1,8215.1472,8215.1472
,20,2.00,1,8155.3433,8155.3433
,30,2.00,1,8870.7019,8870.7019
,40,2.00,1,8214.6879,8214.6879
,50,2.00,1,7780.8657,7780.8657
,60,2.20,1,7091.9562,7091.9562
,70,1.80,1,8479.3222,8479.3222
,80,2.00,1,8673.6044,8673.6044
,90,1.80,1,11920.5164,11920.5164

10-4-20,10,2.60,2,5165.2892,5165.2892
,20,2.80,3,7378.4135,7378.4135
,30,2.80,3,7992.7988,7992.7988
,40,2.60,3,7261.1119,7261.1119
,50,2.40,2,7291.0643,7291.0643
,60,2.60,2,5724.1525,5724.1525
,70,2.20,2,8655.0748,8655.0748
,80,2.20,2,7669.8585,7669.8585
,90,2.20,2,8160.9489,8160.9489

20-8-10,10,3.60,5,14626.5874,14626.5874
,20,3.60,5,19882.2444,19882.2444
,30,3.60,5,18618.2483,18618.2483
,40,3.00,4,20836.0676,20836.0676
,50,3.00,4,17899.6344,17899.6344
,60,3.20,4,16433.1148,16433.1148
,70,3.20,4,18508.3823,18508.3823
,80,3.00,4,21321.0198,21321.0198
,90,3.20,4,20824.7027,20824.7027










